Date,Price,TotalStorage,AQI
1-Jan-10,5.77,3117,46.98907104
8-Jan-10,5.82,2850,43.55592105
15-Jan-10,5.61,2607,58.77188329
22-Jan-10,5.63,2521,42.47462687
29-Jan-10,5.35,2406,39.52158273
5-Feb-10,5.45,2214,47.76219512
12-Feb-10,5.37,2026,44.04458599
19-Feb-10,5.23,1853,44.81149013
26-Feb-10,4.82,1738,33.86779661
5-Mar-10,4.66,1627,42.24124514
12-Mar-10,4.49,1614,32.24367816
19-Mar-10,4.26,1626,45.38735178
26-Mar-10,4.03,1638,27.1182266
2-Apr-10,3.94,1670,42.79714286
9-Apr-10,4.09,1754,32.84516129
16-Apr-10,4.08,1828,42.1319797
23-Apr-10,4.05,1912,45.85679612
30-Apr-10,4.13,1994,39.37674419
7-May-10,3.99,2091,43.94358974
14-May-10,4.25,2165,44.68903803
21-May-10,4.21,2268,39.77981651
28-May-10,4.17,2357,41.94475138
4-Jun-10,4.54,2456,39.58536585
11-Jun-10,4.77,2542,47.2578125
18-Jun-10,5.07,2625,41.76623377
25-Jun-10,4.81,2684,42.56578947
2-Jul-10,4.69,2761,38.48730964
9-Jul-10,4.51,2841,47.93589744
16-Jul-10,4.43,2893,47.98081535
23-Jul-10,4.57,2919,48.2027972
30-Jul-10,4.76,2947,46.47122302
6-Aug-10,4.63,2984,49.00622407
13-Aug-10,4.31,3013,41.7706422
20-Aug-10,4.21,3054,41.80995475
27-Aug-10,3.89,3105,41.69354839
3-Sep-10,3.82,3163,42.70560748
10-Sep-10,3.83,3267,34.76960784
17-Sep-10,4,3341,35.73756906
24-Sep-10,3.92,3415,42.3220339
1-Oct-10,3.85,3499,37.64921466
8-Oct-10,3.72,3590,39.36656891
15-Oct-10,3.63,3683,34.23497268
22-Oct-10,3.44,3754,43.31225296
29-Oct-10,3.58,3821,33.19025522
5-Nov-10,3.87,3840,37.8488746
12-Nov-10,4.02,3834,49.13544669
19-Nov-10,3.97,3828,44.85217391
26-Nov-10,4.3,3805,35.91588785
3-Dec-10,4.27,3717,48.05867347
10-Dec-10,4.47,3553,52.43243243
17-Dec-10,4.2,3369,52.07598039
24-Dec-10,4.13,3232,44.36197917
31-Dec-10,4.27,3097,51.84448161
7-Jan-11,4.53,2960,49.62322946
14-Jan-11,4.46,2716,52.90414508
21-Jan-11,4.6,2543,40.20989761
28-Jan-11,4.44,2355,57.97820163
4-Feb-11,4.37,2144,49.73770492
11-Feb-11,4.02,1910,48.60034305
18-Feb-11,3.91,1831,46.43390805
25-Feb-11,3.89,1745,39.51515152
4-Mar-11,3.86,1672,46.60302457
11-Mar-11,3.89,1616,37.09401709
18-Mar-11,4.02,1611,44.5049505
25-Mar-11,4.28,1622,38.77682403
1-Apr-11,4.34,1578,45.1557377
8-Apr-11,4.15,1606,50.76093294
15-Apr-11,4.15,1654,40.24425287
22-Apr-11,4.28,1685,40.89370079
29-Apr-11,4.48,1757,27.5511811
6-May-11,4.49,1827,34.01593625
13-May-11,4.2,1919,44.58666667
20-May-11,4.2,2023,48.32851986
27-May-11,4.38,2107,36.08888889
3-Jun-11,4.7,2188,47.05882353
10-Jun-11,4.79,2257,48.25957447
17-Jun-11,4.51,2354,42.05524862
24-Jun-11,4.29,2432,34.48421053
1-Jul-11,4.32,2526,45.02222222
8-Jul-11,4.23,2611,48.62222222
15-Jul-11,4.39,2671,40.04568528
22-Jul-11,4.48,2714,45.98617512
29-Jul-11,4.3,2759,44.51084337
5-Aug-11,4.06,2783,44.37614679
12-Aug-11,4.02,2833,42.40298507
19-Aug-11,3.94,2906,47.12464589
26-Aug-11,3.93,2960,43.90430622
2-Sep-11,3.95,3025,48.53266332
9-Sep-11,3.94,3110,41.50918635
16-Sep-11,3.92,3201,34.14492754
23-Sep-11,3.75,3311,34.94222222
30-Sep-11,3.76,3408,35.57961783
7-Oct-11,3.58,3521,42.57089552
14-Oct-11,3.58,3624,38.25945946
21-Oct-11,3.62,3717,33.32790698
28-Oct-11,3.66,3793,42.93174061
4-Nov-11,3.81,3830,39.22680412
11-Nov-11,3.67,3844,37.43396226
18-Nov-11,3.39,3853,34.4483871
25-Nov-11,3.45,3850,42.3
2-Dec-11,3.56,3830,46.34767642
9-Dec-11,3.43,3729,54.39058824
16-Dec-11,3.19,3628,42.25606469
23-Dec-11,3.13,3548,35.42003515
30-Dec-11,3.05,3471,45.34615385
6-Jan-12,3.03,3377,48.30730479
13-Jan-12,2.82,3290,34.68971963
20-Jan-12,2.41,3098,44.30319149
27-Jan-12,2.62,2966,36.96072508
3-Feb-12,2.53,2888,41.89655172
10-Feb-12,2.49,2761,49.60635697
17-Feb-12,2.53,2595,42.31713555
24-Feb-12,2.61,2513,33.66462168
2-Mar-12,2.51,2433,38.68562874
9-Mar-12,2.32,2369,34.69811321
16-Mar-12,2.29,2380,40.44664032
23-Mar-12,2.32,2429,40.05395683
30-Mar-12,2.18,2472,40.91362126
6-Apr-12,2.14,2478,27.32327586
13-Apr-12,2.02,2503,41.27802691
20-Apr-12,1.95,2546,35.69021739
27-Apr-12,2.05,2576,34.20477816
4-May-12,2.31,2606,39.95850622
11-May-12,2.44,2667,37.12162162
