Date,Price
"Jan 01, 2010",5.77
"Jan 08, 2010",5.82
"Jan 15, 2010",5.61
"Jan 22, 2010",5.63
"Jan 29, 2010",5.35
"Feb 05, 2010",5.45
"Feb 12, 2010",5.37
"Feb 19, 2010",5.23
"Feb 26, 2010",4.82
"Mar 05, 2010",4.66
"Mar 12, 2010",4.49
"Mar 19, 2010",4.26
"Mar 26, 2010",4.03
"Apr 02, 2010",3.94
"Apr 09, 2010",4.09
"Apr 16, 2010",4.08
"Apr 23, 2010",4.05
"Apr 30, 2010",4.13
"May 07, 2010",3.99
"May 14, 2010",4.25
"May 21, 2010",4.21
"May 28, 2010",4.17
"Jun 04, 2010",4.54
"Jun 11, 2010",4.77
"Jun 18, 2010",5.07
"Jun 25, 2010",4.81
"Jul 02, 2010",4.69
"Jul 09, 2010",4.51
"Jul 16, 2010",4.43
"Jul 23, 2010",4.57
"Jul 30, 2010",4.76
"Aug 06, 2010",4.63
"Aug 13, 2010",4.31
"Aug 20, 2010",4.21
"Aug 27, 2010",3.89
"Sep 03, 2010",3.82
"Sep 10, 2010",3.83
"Sep 17, 2010",4.00
"Sep 24, 2010",3.92
"Oct 01, 2010",3.85
"Oct 08, 2010",3.72
"Oct 15, 2010",3.63
"Oct 22, 2010",3.44
"Oct 29, 2010",3.58
"Nov 05, 2010",3.87
"Nov 12, 2010",4.02
"Nov 19, 2010",3.97
"Nov 26, 2010",4.30
"Dec 03, 2010",4.27
"Dec 10, 2010",4.47
"Dec 17, 2010",4.20
"Dec 24, 2010",4.13
"Dec 31, 2010",4.27
"Jan 07, 2011",4.53
"Jan 14, 2011",4.46
"Jan 21, 2011",4.60
"Jan 28, 2011",4.44
"Feb 04, 2011",4.37
"Feb 11, 2011",4.02
"Feb 18, 2011",3.91
"Feb 25, 2011",3.89
"Mar 04, 2011",3.86
"Mar 11, 2011",3.89
"Mar 18, 2011",4.02
"Mar 25, 2011",4.28
"Apr 01, 2011",4.34
"Apr 08, 2011",4.15
"Apr 15, 2011",4.15
"Apr 22, 2011",4.28
"Apr 29, 2011",4.48
"May 06, 2011",4.49
"May 13, 2011",4.20
"May 20, 2011",4.20
"May 27, 2011",4.38
"Jun 03, 2011",4.70
"Jun 10, 2011",4.79
"Jun 17, 2011",4.51
"Jun 24, 2011",4.29
"Jul 01, 2011",4.32
"Jul 08, 2011",4.23
"Jul 15, 2011",4.39
"Jul 22, 2011",4.48
"Jul 29, 2011",4.30
"Aug 05, 2011",4.06
"Aug 12, 2011",4.02
"Aug 19, 2011",3.94
"Aug 26, 2011",3.93
"Sep 02, 2011",3.95
"Sep 09, 2011",3.94
"Sep 16, 2011",3.92
"Sep 23, 2011",3.75
"Sep 30, 2011",3.76
"Oct 07, 2011",3.58
"Oct 14, 2011",3.58
"Oct 21, 2011",3.62
"Oct 28, 2011",3.66
"Nov 04, 2011",3.81
"Nov 11, 2011",3.67
"Nov 18, 2011",3.39
"Nov 25, 2011",3.45
"Dec 02, 2011",3.56
"Dec 09, 2011",3.43
"Dec 16, 2011",3.19
"Dec 23, 2011",3.13
"Dec 30, 2011",3.05
"Jan 06, 2012",3.03
"Jan 13, 2012",2.82
"Jan 20, 2012",2.41
"Jan 27, 2012",2.62
"Feb 03, 2012",2.53
"Feb 10, 2012",2.49
"Feb 17, 2012",2.53
"Feb 24, 2012",2.61
"Mar 02, 2012",2.51
"Mar 09, 2012",2.32
"Mar 16, 2012",2.29
"Mar 23, 2012",2.32
"Mar 30, 2012",2.18
"Apr 06, 2012",2.14
"Apr 13, 2012",2.02
"Apr 20, 2012",1.95
"Apr 27, 2012",2.05
"May 04, 2012",2.31
"May 11, 2012",2.44
"May 18, 2012",2.58
"May 25, 2012",2.65
"Jun 01, 2012",2.40
"Jun 08, 2012",2.37
"Jun 15, 2012",2.32
"Jun 22, 2012",2.58
"Jun 29, 2012",2.76
"Jul 06, 2012",2.86
"Jul 13, 2012",2.84
"Jul 20, 2012",2.93
"Jul 27, 2012",3.10
"Aug 03, 2012",3.08
